1	2
1	68
1	82
2	68
2	81
2	117
2	202
3	6
3	18
3	47
3	53
3	95
3	129
3	154
3	202
3	216
4	88
4	131
4	161
4	187
5	23
5	38
5	51
5	61
5	73
5	80
5	87
5	108
5	137
5	150
5	157
5	172
5	180
5	181
5	184
5	196
5	199
5	204
5	213
5	215
6	18
6	107
6	216
7	22
7	29
7	48
7	52
7	58
7	62
7	63
7	66
7	85
7	109
7	115
7	132
7	137
7	145
7	146
7	147
7	156
7	170
7	178
7	189
7	191
7	195
8	17
8	20
8	24
8	27
8	30
8	42
8	45
8	48
8	54
8	58
8	62
8	63
8	66
8	71
8	73
8	74
8	82
8	84
8	85
8	86
8	100
8	113
8	115
8	124
8	128
8	135
8	136
8	137
8	140
8	145
8	146
8	149
8	150
8	153
8	156
8	166
8	167
8	168
8	170
8	173
8	177
8	179
8	190
8	191
8	193
8	195
8	197
8	211
8	212
8	213
8	218
8	219
9	10
9	13
9	15
9	30
9	36
9	50
9	51
9	57
9	103
9	105
9	111
9	116
9	123
9	127
9	134
9	142
9	150
9	153
9	160
9	163
9	172
9	184
9	200
9	207
9	209
10	13
10	15
10	21
10	27
10	30
10	36
10	50
10	51
10	56
10	57
10	64
10	66
10	72
10	105
10	108
10	113
10	116
10	123
10	127
10	128
10	134
10	142
10	150
10	153
10	163
10	168
10	172
10	181
10	184
10	196
10	199
10	200
10	201
10	205
10	207
10	209
10	217
11	65
11	125
12	23
12	43
12	51
12	73
12	78
12	110
12	112
12	122
12	130
12	139
12	158
12	162
12	169
12	171
12	203
12	206
12	215
13	15
13	21
13	30
13	45
13	50
13	57
13	59
13	76
13	105
13	108
13	123
13	127
13	128
13	134
13	142
13	144
13	183
13	184
13	199
13	200
13	207
13	209
13	214
14	16
14	19
14	24
14	27
14	30
14	41
14	42
14	49
14	56
14	66
14	69
14	71
14	76
14	82
14	86
14	92
14	96
14	98
14	113
14	114
14	116
14	148
14	150
14	159
14	160
14	163
14	166
14	167
14	173
14	176
14	177
14	195
14	196
14	197
14	201
14	205
14	207
14	210
14	213
14	217
14	219
14	222
15	30
15	50
15	59
15	103
15	116
15	123
15	127
15	128
15	134
15	142
15	153
15	172
15	183
15	184
15	200
15	207
15	209
15	214
15	220
16	25
16	27
16	66
16	67
16	69
16	99
16	113
16	116
16	126
16	135
16	145
16	148
16	188
16	195
16	210
16	212
16	222
17	20
17	21
17	22
17	24
17	27
17	28
17	30
17	32
17	39
17	42
17	56
17	63
17	66
17	68
17	71
17	73
17	86
17	90
17	98
17	108
17	114
17	116
17	128
17	134
17	135
17	136
17	137
17	140
17	145
17	146
17	150
17	153
17	159
17	160
17	167
17	168
17	170
17	174
17	177
17	178
17	179
17	180
17	191
17	195
17	197
17	205
17	211
17	213
17	217
17	218
18	47
18	53
18	95
18	129
18	154
18	216
19	62
19	166
19	173
19	208
20	22
20	27
20	28
20	30
20	32
20	45
20	48
20	49
20	54
20	56
20	58
20	62
20	66
20	71
20	82
20	84
20	85
20	88
20	90
20	92
20	100
20	113
20	128
20	135
20	136
20	137
20	145
20	146
20	149
20	150
20	156
20	166
20	167
20	168
20	170
20	173
20	177
20	179
20	191
20	192
20	195
20	197
20	201
20	205
20	207
20	211
20	218
21	27
21	30
21	32
21	45
21	50
21	57
21	66
21	70
21	76
21	105
21	108
21	127
21	128
21	134
21	136
21	142
21	143
21	144
21	155
21	157
21	172
21	178
21	199
21	200
21	201
21	205
21	207
21	218
22	25
22	28
22	29
22	32
22	49
22	52
22	58
22	62
22	63
22	66
22	70
22	73
22	85
22	109
22	115
22	132
22	146
22	147
22	150
22	153
22	156
22	170
22	174
22	178
22	179
22	180
22	189
22	191
22	205
22	211
23	32
23	34
23	35
23	43
23	51
23	61
23	73
23	78
23	87
23	89
23	96
23	108
23	110
23	122
23	130
23	139
23	162
23	169
23	171
23	203
23	206
23	213
23	215
24	27
24	28
24	30
24	32
24	41
24	42
24	46
24	49
24	51
24	56
24	66
24	67
24	68
24	69
24	70
24	71
24	73
24	74
24	77
24	82
24	84
24	85
24	86
24	90
24	92
24	93
24	104
24	105
24	109
24	111
24	113
24	114
24	118
24	122
24	124
24	128
24	136
24	145
24	150
24	159
24	160
24	167
24	168
24	173
24	176
24	177
24	178
24	180
24	193
24	195
24	197
24	201
24	205
24	207
24	211
24	213
24	215
24	217
24	218
24	219
25	113
25	195
26	64
26	75
26	76
26	83
26	98
26	108
